updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 29C,ocd-division/country:us/state:md/sldl:29c,1189,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 27B,ocd-division/country:us/state:md/sldl:27b,1172,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 06,ocd-division/country:us/state:md/sldl:6,1907,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 07,ocd-division/country:us/state:md/sldl:7,2484,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 14,ocd-division/country:us/state:md/sldl:14,4821,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 29B,ocd-division/country:us/state:md/sldl:29b,1527,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 04B,ocd-division/country:us/state:md/sldl:4b,670,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 12B,ocd-division/country:us/state:md/sldl:12b,2608,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 35B,ocd-division/country:us/state:md/sldl:35b,964,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 17,ocd-division/country:us/state:md/sldl:17,4935,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 04A,ocd-division/country:us/state:md/sldl:4a,2336,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 28,ocd-division/country:us/state:md/sldl:28,6316,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 46,ocd-division/country:us/state:md/sldl:46,2888,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 21,ocd-division/country:us/state:md/sldl:21,4554,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 44,ocd-division/country:us/state:md/sldl:44,4398,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 20,ocd-division/country:us/state:md/sldl:20,4959,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 47,ocd-division/country:us/state:md/sldl:47,4296,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 22,ocd-division/country:us/state:md/sldl:22,4798,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 37B,ocd-division/country:us/state:md/sldl:37b,2400,,,Y,,2012
2015-10-09 20:39:43.777000,md-2012-04-03-primary,2012-04-03 00:00:00,2012-04-03 00:00:00,primary,certified,False,President - Vice Pres,,Barack Obama,,,,,DEM,,LEGS 02A,ocd-division/country:us/state:md/sldl:2a,1366,,,Y,,2012
